latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.87026,138.82529,324.38,1.78,1.31,2023-09-09,0013,T,75,6.1NRT,299.46,30.77,D
-14.8832,-49.13251,312.84,2.9,1.62,2023-09-09,0054,T,86,6.1NRT,293.66,52.61,N
-14.86872,-49.13433,305.46,2.9,1.62,2023-09-09,0054,T,64,6.1NRT,293.71,29.86,N
-14.43224,-47.19329,317.93,2.02,1.38,2023-09-09,0054,T,96,6.1NRT,290.66,44.62,N
-14.44188,-47.19864,301.07,2.02,1.38,2023-09-09,0054,T,37,6.1NRT,290.46,11.05,N
-14.4273,-47.18175,303.14,2.01,1.38,2023-09-09,0054,T,53,6.1NRT,290.26,13.91,N
-14.42952,-47.20013,311.04,2.02,1.38,2023-09-09,0054,T,82,6.1NRT,290.26,28.55,N
-13.93454,-44.00602,301.25,1.2,1.09,2023-09-09,0054,T,39,6.1NRT,291.24,5.76,N
-13.61432,-44.43866,319.58,1.26,1.11,2023-09-09,0054,T,99,6.1NRT,292.98,23.92,N
-13.27068,-45.58158,309.59,1.47,1.2,2023-09-09,0054,T,78,6.1NRT,290.33,17.97,N
-13.02872,-45.28135,322.56,1.4,1.17,2023-09-09,0054,T,100,6.1NRT,290.75,34.53,N
-13.0303,-45.29403,343.34,1.4,1.17,2023-09-09,0054,T,100,6.1NRT,293.08,81.8,N
-13.03189,-45.30674,315.12,1.4,1.17,2023-09-09,0054,T,91,6.1NRT,290.96,22.98,N
